ATCamera,109,0.03%
ATDome,8,0.00%
ATHexapod,3,0.00%
ATMCS,388,0.09%
ATPneumatics,10,0.00%
ATPtg,1486,0.35%
CCCamera,304,0.07%
DIMM,82,0.02%
ESS,7357,1.75%
HVAC,70,0.02%
MTAirCompressor,212,0.05%
MTHexapod,305,0.07%
MTM1M3,353700,84.20%
MTM1M3TS,5113,1.22%
MTM2,8270,1.97%
MTMount,33453,7.96%
MTPtg,2238,0.53%
MTVMS,6183,1.47%
Scheduler,787,0.19%
**Total**,**420077**,**100.00%**
